,actors,average,country,director,genre,language,link,release_date,runtime,title,votes,writer
5,"['安赫拉·莫利纳', '马丁·皮罗杨斯基', '娜塔丽娅·沃拜克', '欧嘉·博拉茨', 'Jan Mayzel', '米格尔·安吉尔·索拉']",7.8, 阿根廷 / 西班牙,Pablo Solarz,['剧情'], 西班牙语,https://movie.douban.com/subject/27109435/,2017-10-15(釜山电影节),91分钟,最后一件外套 El último traje,240,['Pablo Solarz']
6,"['马丁·特雷塔', 'Barbara Dittus', 'Lars Jung', 'Carl Heinz Choynski', 'Werner Godemann', '贾基·施瓦茨', 'Albert Hetterle', '玛丽安娜·温舍尔', 'Thomas Neumann', '卡门-玛雅·安东尼', '汉约·哈塞', 'Achim Wolff', 'Paul Arenkens', '马德琳·里尔克', 'Harald Engelmann', '恩斯特-格奥尔格·施维尔', 'Werner Lierck', 'Willi Schrade', 'Peter Sturm', 'Willi Neuenhahn', 'Gertrud Brendler', 'Werner Kamenik', 'Gertraud Last', 'Klaus Tilsner']",7.8, 德国,Roland Oehme,['喜剧'], 德语,https://movie.douban.com/subject/5063934/,1979-06-28(东德),91分钟,部长轿车的风波 Einfach Blumen aufs Dach,111,"['Roland Oehme', 'Anne Pfeuffer', 'Rudi Strahl']"
7,"['约翰尼·诺克斯维尔', '班姆·玛吉瑞', '史蒂夫', '克里斯·庞蒂斯', '瑞恩·邓恩', '杰森·阿库纳', '普雷斯顿·莱西', '戴夫·英格兰', 'Ehren McGhehey', 'Brandon Dicamillo', 'April Margera', 'Phil Margera', 'Jess Margera', 'Chris Raab', 'Rakeyohn', 'Stephanie Hodge', '托尼·霍克', 'Mat Hoffman', 'Butterbean', '亨利·罗林斯', 'Eric Koston', '里普·泰勒', '斯派克·琼斯', '杰夫·特里梅因', 'Dimitry Elyashkevich', '吉恩·拉贝尔', 'Cory Nastazio', '兰斯·邦斯', 'Naoko Kumagai']",7.7, 美国,杰夫·特里梅因,['喜剧'], 英语,https://movie.douban.com/subject/1301566/,2002/10/25,87 分钟,蠢蛋搞怪秀 Jackass: The Movie,9515,"['杰夫·特里梅因', '斯派克·琼斯', '约翰尼·诺克斯维尔', '班姆·玛吉瑞', '史蒂夫', '普雷斯顿·莱西', '克里斯·庞蒂斯', '戴夫·英格兰', '瑞恩·邓恩', 'Ehren McGhehey', 'Brandon Dicamillo', 'Dimitry Elyashkevich', 'Whitey McConnaughy', 'Sean Cliver', 'Loomis Fall', '维农·查特曼']"
8,"['比尔·默瑞', '梅丽莎·麦卡西', '娜奥米·沃茨', '杰登·马泰尔', '克里斯·奥多德', '泰伦斯·霍华德', '内森·科德里', '金贝利·奎恩', '斯科特·安第斯']",7.7, 美国,西奥多·梅尔菲,"['剧情', '喜剧']", 英语 / 西班牙语,https://movie.douban.com/subject/21965464/,2014-09-05(多伦多电影节),102分钟,圣人文森特 St. Vincent,9409,['西奥多·梅尔菲']
9,"['Piroska Molnár', 'László Gyémánt', 'András Gyémánt', 'Ulrich Thomsen', 'Ulrich Matthes', 'Orsolya Tóth', 'Peter Andorai']",7.7, 德国 / 法国 / 匈牙利 / 奥地利,杨诺·萨斯,['剧情'], 匈牙利语,https://movie.douban.com/subject/3871780/,2013/6/3,100分钟,恶童日记 A nagy füzet,3592,"['雅歌塔·克里斯多夫Agota Kristof (novel)', 'András Szekér', '杨诺·萨斯 János Szász']"
10,"['卡西·贝德', '简·卡尔', 'Kelly Chapek', '帕特里克克兰肖', 'Jarvis Dashkewytch']",7.7, 美国,Robert Vince,"['喜剧', '家庭']", 英语,https://movie.douban.com/subject/1941581/,2006/12/12,80 分钟,神犬小巴迪 Air Buddies,2735,"['Robert Vince', 'Anna McRoberts', 'Phil Hanley']"
11,"['西里尔·索文尼', '斯戴芬·古林-提列', '伊娃·达尔兰', 'Caroline Veyt', 'Danièle Denie', '伊蒂格·斯特凡', 'Laurence César', 'Jean-Pierre Valère', 'Rapha?lle Lubansu', 'Jean-Baptiste Lefèvre', 'Aurélie Godichal', 'Jonathan Fox', '马赛尔·多索涅', '布鲁诺·若里斯', 'Diego Vanhoute']",7.7, 法国 / 比利时,克里斯蒂安·富尔,"['剧情', '爱情', '同性', '家庭']", 法语,https://movie.douban.com/subject/1820098/,2000-01-26(法国),92分钟,只是爱的问题 Juste une question d'amour,2992,"['克里斯蒂安·富尔', '安妮珂·拉布勒特', '彼埃尔·波凯特']"
12,"['雅罗斯拉娃·莎勒洛娃', 'Helena Anyzová', 'Petr Kopriva', 'Jirí Prymek']",7.7, 捷克斯洛伐克,亚罗米尔·伊雷什,"['恐怖', '奇幻']", 捷克语,https://movie.douban.com/subject/1437094/,1970/10/16,77分钟,瓦莱莉和她的奇迹一周 Valerie a tyden div?,2320,"['亚罗米尔·伊雷什', '埃斯特尔·克伦巴赫乔娃']"
13,"['雪莉·麦克雷恩', '阿曼达·塞弗里德', '安妮朱尔·李·狄克逊', '托马斯·萨多斯基', '菲利普·贝克·霍尔', '渡边戈登', '汤姆·艾弗瑞特·斯科特', '乔尔·默里', '伊薇特·弗里曼', '瓦莱丽·罗斯', '安·海切', '斯蒂文·卡普', '阿迪纳·波特', '托德·路易斯', '克洛伊·韦珀']",7.7, 美国,马克·佩灵顿,"['剧情', '喜剧']", 英语,https://movie.douban.com/subject/26638885/,2017-01-24(圣丹斯电影节),108分钟,最后的话 The Last Word,2622,['斯图尔特·罗斯·芬克']
14,"['大卫·苏切', '休·弗拉瑟']",7.7, 英国,汤姆·克雷格,"['悬疑', '犯罪']", 英语,https://movie.douban.com/subject/1304152/,2001-07-08(英国),100分钟,古墓之谜 Poirot: Murder in Mesopotamia,2005,"['克里夫·埃克斯顿', '阿加莎·克里斯蒂']"
15,"['安娜·玛德蕾', '玛克辛·皮克', '克里斯汀·博顿利']",7.6, 英国,詹姆斯·肯特,"['剧情', '爱情', '同性', '传记']", 英语,https://movie.douban.com/subject/4267948/,May-10,91分钟,安妮·李斯特的秘密日记 The Secret Diaries of Miss Anne Lister,6909,['简·英格丽史']
16,"['福田麻由子', '水泽奈子', '森迫永依', '本上真奈美', '松元环季', '富泽风斗', '竹本英史', '小山刚志', '塚田正昭']",7.6, 日本,片渊须直,"['剧情', '动画']", 日语,https://movie.douban.com/subject/4067285/,2009-11-22(日本),93分钟,空想新子和千年的魔法 マイマイ新子と千年の魔法,6527,"['片渊须直', '高树信子']"
17,"['小田切让', '香川照之', '伊武雅刀', '新井浩文', '真木阳子', '蟹江敬三', '木村佑一', '田口智朗', '泷正则']",7.6, 日本,西川美和,"['剧情', '犯罪']", 日语,https://movie.douban.com/subject/1796995/,2006/7/8,121分钟,摇摆 ゆれる,6208,['西川美和']
18,"['本木雅弘', '竹原皮斯托', '藤田健心', '白鸟玉季', '堀内敬子', '池松壮亮', '黑木华', '山田真步', '深津绘里', '松冈依都美', '岩井秀人', '康巢恩', '户次重幸', '渊上泰史', '布吉吉', '小林胜也']",7.6, 日本,西川美和,"['剧情', '家庭']", 日语,https://movie.douban.com/subject/26581774/,2016-09-09(多伦多电影节),124分钟,永远的托词 永い言い訳,6246,['西川美和']
19,"['丹泽尔·华盛顿', '米拉·乔沃维奇']",7.6, 美国,斯派克·李,"['剧情', '运动']", 英语,https://movie.douban.com/subject/1300880/,1998/5/1,136 分钟,单挑 He Got Game,5487,['斯派克·李']
0,"['安塔·多布罗西', '杰瑞米·雷乃', '法布里齐奥·隆吉奥内', '摩根·马林']",7.6, 法国 / 比利时 / 意大利 / 德国,让-皮埃尔·达内,['剧情'], 法语 / 阿尔巴尼亚语,https://movie.douban.com/subject/2999387/,2008/8/27,USA: 105 分钟,罗尔娜的沉默 Le silence de Lorna,3585,"['让-皮埃尔·达内', '吕克·达内']"
1,"['米亚·法罗', '伍迪·艾伦', '尼克·阿波罗·福特']",7.6, 美国,伍迪·艾伦,['喜剧'], 英语 / 意大利语 / 意第绪语,https://movie.douban.com/subject/1295588/,1984/1/27,84 分钟,丹尼玫瑰 Broadway Danny Rose,1709,['伍迪·艾伦']
2,[],, 韩国,朴载玉,['动画'], 韩语,,2009/12/10,,没有浪漫 ??? ??,,
